name,surname,birth_date,death_date,party,party_abr,assumed_office,left_office,sex,city,region
Stefan,Löfven,1957-07-21,,Socialdemokraterna,S,2012-01-27,,m,,
Håkan,Juholt,1962-09-16,,Socialdemokraterna,S,2011-03-25,2012-01-21,m,,
Mona,Sahlin,1957-03-09,,Socialdemokraterna,S,2007-03-17,2011-03-25,k,,
Göran,Persson,1949-01-20,,Socialdemokraterna,S,1996-03-15,2007-03-17,m,,
Ingvar,Carlsson,1934-11-09,,Socialdemokraterna,S,1986-03-03,1996-03-15,m,,
Olof,Palme,1927-01-30,1986-02-28,Socialdemokraterna,S,1969-10-01,1986-02-28,m,,
Tage,Erlander,1901-06-13,1985-06-21,Socialdemokraterna,S,1946-10-11,1969-10-01,m,,
Per Albin,Hansson,1885-10-28,1946-10-06,Socialdemokraterna,S,1925-02-01,1946-10-06,m,,
Hjalmar,Branting,1860-11-23,1925-02-24,Socialdemokraterna,S,1907-01-17,1920-10-27,m,,
Claes,Tholin,1860-10-22,1927-06-27,Socialdemokraterna,S,1896-01-01,1907-01-17,m,,
Nyamko,Sabuni,1969-03-31,,Liberalerna,L,2019-06-28,,k,,
Jan,Björklund,1962-04-18,,Liberalerna,L,2007-09-07,2019-06-28,m,,
Lars,Leijonborg,1949-11-21,,Liberalerna,L,1997-03-15,2007-09-07,m,,
Maria,Leissner,1956-01-21,,Liberalerna,L,1995-02-04,1997-03-15,k,,
Bengt,Westerberg,1943-08-23,,Liberalerna,L,1983-10-01,1995-02-04,m,,
Ola,Ullsten,1931-06-23,2018-05-28,Liberalerna,L,1978-03-04,1983-10-01,m,,
Per,Ahlmark,1939-01-15,2018-06-08,Liberalerna,L,1975-11-07,1978-03-04,m,,
Gunnar,Helén,1918-06-05,2002-12-07,Liberalerna,L,1969-11-07,1975-11-07,m,,
Sven,Wedén,1913-07-23,1976-03-31,Liberalerna,L,1967-06-11,1969-09-26,m,,
Bertil,Ohlin,1899-04-23,1979-08-03,Liberalerna,L,1944-09-28,1967-06-11,m,,
Gustaf,Andersson i Rasjön,1884-12-18,1961-11-12,Liberalerna,L,1935-01-10,1944-09-28,m,,
Felix,Hamrin,1875-01-14,1937-11-27,Liberalerna,L,1934-08-05,1935-01-10,m,,
Ulf,Kristersson,1963-12-29,,Moderaterna,M,2017-10-01,,m,,
Anna,Kinberg Batra,1970-04-14,,Moderaterna,M,2015-01-10,2017-10-01,k,,
Fredrik,Reinfeldt,1965-08-04,,Moderaterna,M,2003-10-25,2015-01-10,m,,
Bo,Lundgren,1947-07-11,,Moderaterna,M,1999-09-04,2003-10-25,m,,
Carl,Bildt,1949-07-15,,Moderaterna,M,1986-08-23,1999-09-04,m,Halmstad,Halland
Ulf,Adelsohn,1941-10-04,,Moderaterna,M,1981-10-25,1986-08-23,m,Stockholm,Uppland
Gösta,Bohman,1911-01-15,1997-08-12,Moderaterna,M,1970-11-14,1981-10-25,m,Stockholm,Uppland
Yngve,Holmberg,1925-03-21,2011-10-29,Moderaterna,M,1965-01-01,1970-11-14,m,Norrtälje,Uppland
Gunnar,Heckscher,1909-07-08,1987-11-24,Moderaterna,M,1961-01-01,1965-01-01,m,Danderyd,Uppland
Jarl,Hjalmarson,1904-06-15,1993-11-26,Moderaterna,M,1950-01-01,1961-01-01,m,Helsingborg,Skåne
Fritiof,Domö,1889-08-30,1961-11-23,Moderaterna,M,1944-01-01,1950-01-01,m,Jönköping,Småland
Gösta,Bagge,1882-05-27,1951-01-03,Moderaterna,M,1935-06-01,1944-01-01,m,Stockholm,Södermanland
Arvid,Lindman,1862-09-19,1936-12-09,Moderaterna,M,1912-01-01,1935-06-01,m,Östhammar,Uppland
Gustaf Fredrik,Östberg II,1847-05-30,1924-05-18,Moderaterna,M,1908-01-01,1912-01-01,m,Stockholm,Uppland
Hugo,Tamm,1840-06-29,1907-10-04,Moderaterna,M,1907-01-01,1907-12-31,m,Munkedal,Bohuslän
Axel,Svedelius,1836-10-14,1924-03-15,Moderaterna,M,1905-01-01,1906-12-31,m,Norrköping,Östergötland
Gustaf Fredrik,Östberg I,1847-05-30,1924-05-18,Moderaterna,M,1908-01-01,1912-01-01,m,Stockholm,Uppland
Isabella,Lövin,1963-02-03,,Miljöpartiet,Mp,2016-05-13,,k,Helsingborg,Skåne
Per,Bolund,1971-07-03,,Miljöpartiet,Mp,2019-05-04,,m,Stockholm,Uppland
Åsa,Romson,1972-03-22,,Miljöpartiet,Mp,2011-05-21,2016-05-13,k,Salem,Södermandland
Gustav,Fridolin,1983-05-10,,Miljöpartiet,Mp,2011-05-21,2019-05-04,m,Kristianstad,Skåne
Maria,Wetterstrand,1973-10-02,,Miljöpartiet,Mp,2002-05-12,2011-05-21,k,Eskilstuna,Södermanland
Peter,Eriksson,1958-08-03,,Miljöpartiet,Mp,2002-05-12,2011-05-21,m,Tranås,Småland
Matz,Hammarström,1959-11-07,,Miljöpartiet,Mp,2000-06-04,2002-05-12,m,Västerås,Västmanland
Lotta,Hedström,1955-09-13,,Miljöpartiet,Mp,1999-05-15,2002-05-12,k,Stockholm,Södermanland
Birger,Schlaug II,1949-01-29,,Miljöpartiet,Mp,1992-04-20,2000-06-04,m,Stockholm,
Marianne,Samuelsson,1945-12-09,,Miljöpartiet,Mp,1992-04-20,1999-05-15,k,Alingsås,Västergörland
Jan,Axelsson,1939-01-10,2018-06-03,Miljöpartiet,Mp,1990-06-16,1992-04-20,m,,
Margareta,Gisselberg,1938-12-02,,Miljöpartiet,Mp,1990-06-16,1991-09-15,k,,
Fiona,Björling,1944-01-18,,Miljöpartiet,Mp,1988-10-01,1990-06-16,k,,
Anders,Nordin,1949-01-01,,Miljöpartiet,Mp,1988-10-01,1990-06-16,m,,
Eva,Goës,1947-07-04,,Miljöpartiet,Mp,1986-05-03,1988-09-18,k,Umeå,Västerbotten
Birger,Schlaug I,1949-01-29,,Miljöpartiet,Mp,1985-09-30,1988-09-18,m,Stockholm,
Per,Gahrton,1943-02-02,,Miljöpartiet,Mp,1984-06-03,1985-09-15,m,Malmö,Skåne
Ragnhild,Pohanka,1932-05-31,,Miljöpartiet,Mp,1984-06-03,1986-05-03,k,Stockholm,
Ebba,Busch,1987-02-11,,Kristdemokraterna,Kd,2015-04-25,,k,Uppsala,Uppland
Göran,Hägglunf,1959-01-27,,Kristdemokraterna,Kd,2004-04-03,2015-04-25,m,Degerfors,Närke
Alf,Svensson,1938-10-01,,Kristdemokraterna,Kd,1973-07-05,2004-04-03,m,Skövde,Västergötland
Birger,Ekstedt,1921-12-19,1972-07-05,Kristdemokraterna,Kd,1964-01-01,1972-07-05,m,Sundsvall,Medelpad
Annie,Lööf,1983-07-16,,Centerpartiet,C,2011-09-23,,k,Värnamo,Småland
Maud,Olofsson,1955-08-09,,Centerpartiet,C,2001-03-19,2011-09-23,k,Örnsköldsvik,Ångermanland
Lennart,Daléus,1946-06-25,,Centerpartiet,C,1998-07-31,2001-03-19,m,Stockholm,
Olof,Johansson,1937-07-31,,Centerpartiet,C,1987-02-01,1998-07-31,m,Kalmar,Småland
Karin,Söder,1928-11-30,2015-12-19,Centerpartiet,C,1985-12-05,1987-01-01,k,Kil,Värmland
Thorbjörn,Fälldin,1926-04-24,2016-07-23,Centerpartiet,C,1971-06-01,1985-12-05,m,Härnösand,Ångermanland
Gunnar,Hedlund,1900-09-01,1989-11-26,Centerpartiet,C,1949-06-01,1971-06-01,m,Sollefteå,Ångermanland
Axel,Pehrsson,1883-08-19,1954-02-19,Centerpartiet,C,1934-06-01,1949-06-01,m,Ystad,Skåne
Olof,Olsson i Kullenbergstorp,1859-02-06,1934-07-16,Centerpartiet,C,1929-01-01,1934-06-01,m,Höganäs,Skåne
Johan,Johansson i Kälkebo,1866-09-14,1928-06-22,Centerpartiet,C,1924-06-01,1928-06-22,m,Hudiksvall,Hälsingland
Johan,Anderson i Raklösen,1866-06-29,1924-01-24,Centerpartiet,C,1920-01-01,1924-01-19,m,Tierp,Uppland
Erik,Eriksson i Spraxkya,1864-02-08,1939-02-13,Centerpartiet,C,1916-01-01,1919-01-01,m,Borlänge,Dalarna
Jonas,Sjöstedt,1964-12-25,,Vänsterpartiet,V,2012-01-06,,m,Göteborg,Västergötland
Lars,Ohly,1957-01-13,,Vänsterpartiet,V,2004-02-20,2012-01-06,m,Stockholm,Uppland
Ulla,Hoffman,1942-03-21,,Vänsterpartiet,V,2003-01-26,2004-02-20,k,Solna,Uppland
